year,Median,Range,n,species,group,season,decade,baseline_median,baseline_range,diff_median,diff_range,spring_dp10,spring_d32,spring_emxp,spring_prcp,spring_tavg,spring_tmax,spring_tmin,fall_dp10,fall_d32,fall_emxp,fall_prcp,fall_tavg,fall_tmax,fall_tmin,winter_dp10,winter_dx32,winter_emxp,winter_prcp,winter_tavg,winter_tmax,winter_tmin,yearly_dp10,yearly_dx32,yearly_emxp,yearly_prcp,yearly_tavg,yearly_tmin,yearly_tmax,spring_temp,fall_temp,winter_temp,yearly_temp,hurricane,spring_discharge,fall_discharge,winter_discharge,yearly_discharge,spring_drought,fall_drought,winter_drought,yearly_drought
1993,182,109,12,Atlantic Bumper,Pelagic Prey,Fall,1990,235.3333333,22.16666667,-53.33333333,86.83333333,22,0,3.5,20.49,63.66666667,81.7,46.2,16,0,4.45,11.54,67.73333333,87.6,45.1,18,0,4.62,17.79,54.43333333,65.2,42,79,0,4.62,60.42,66.40833333,92.3,39.3,18.64949819,22.35210796,14.12669742,20.90789345,0,213158.16,42816.21,344211.2,571382.4,1150.8,-27.1,505.6,2250.8
1994,250,21,32,Atlantic Bumper,Pelagic Prey,Fall,1990,235.3333333,22.16666667,14.66666667,-1.166666667,16,0,2.26,14.41,67.33333333,83.3,48.1,15,0,2.97,11.71,69.66666667,86.6,53.6,15,0,2.52,11.57,51,67.5,37.2,74,0,2.97,54.9,67.44166667,89.5,37.2,20.22316069,22.86247723,13.67425741,21.08542855,0,249243.22,79119.03,211871.58,701278.93,-486.5,-178,-654.4,-1241
1995,199,41,9,Atlantic Bumper,Pelagic Prey,Fall,1990,235.3333333,22.16666667,-36.33333333,18.83333333,18,0,5.44,28.07,68.16666667,85.3,52.3,14,0,4.9,17.93,67.86666667,89.1,44.8,18,0,2.73,13.14,53.76666667,66.4,40.6,72,0,5.44,80.5,67.5,92.6,40.5,20.50294245,22.1741985,13.11831396,21.01441429,2,247049.96,135613.28,235423.45,665197.9,210,635.1,8.2,1818.8
1996,222,49,21,Atlantic Bumper,Pelagic Prey,Fall,1990,235.3333333,22.16666667,-13.33333333,26.83333333,15,0,4.75,21.26,64.93333333,86.6,44.3,16,0,1.22,9.27,67.56666667,85.9,49,16,1,4.68,19.74,50.96666667,62.9,36.2,79,1,4.75,66.76,66.13333333,90.8,36.2,19.02653565,22.2400978,13.85077428,20.84081783,0,231556.74,70298.58,303616.03,655916.75,1724.7,-35.4,1148.2,3243.6
1997,251,53,35,Atlantic Bumper,Pelagic Prey,Fall,1990,235.3333333,22.16666667,15.66666667,30.83333333,20,0,3.38,19.59,67.3,82.2,53.3,18,0,2.78,16.5,67.13333333,89.6,44.9,23,0,2.26,18.59,53.36666667,65,41.1,90,0,10.07,80.17,66.56666667,90.8,40.2,20.02395788,21.84505862,13.76845905,20.8677597,1,241808.26,77689.4,269083.5,760474.37,-13.3,795.5,-314.8,2263.7
1998,237,41,495,Atlantic Bumper,Pelagic Prey,Fall,1990,235.3333333,22.16666667,1.666666667,18.83333333,17,0,6.8,17.89,66.2,87.6,46.7,21,0,8.6,30.43,70.7,84.9,53.4,24,0,6.16,25.59,51.73333333,63.9,40.2,85,0,8.6,86.53,68.56666667,92.6,42.5,19.57614703,23.52789424,14.81445967,21.69715192,2,259770.48,46071.32,347056.95,676354.95,2013.2,1390.6,3139.7,6885.2
1999,270,0,35,Atlantic Bumper,Pelagic Prey,Fall,1990,235.3333333,22.16666667,34.66666667,-22.16666667,17,0,3.89,14.23,67.63333333,85,46.8,14,0,2.35,12.22,68.2,86.8,47,15,0,1.54,8.48,56.56666667,68.6,44.4,66,0,3.89,50.91,68.03333333,94.3,39.7,20.3992096,22.43825766,15.27568947,21.65593208,0,144743.88,26717.03,219692.66,450979.21,329,-1021.3,122.6,-2086.8
2000,237,33,23,Atlantic Bumper,Pelagic Prey,Fall,2000,235.3333333,22.16666667,1.666666667,10.83333333,17,0,3.02,11.75,68.4,87.2,51.4,19,0,2.85,15.44,67.46666667,87,46.7,14,0,1.02,7.4,54.16666667,69.5,39.7,70,0,3.02,45.74,67.70833333,95.4,35,21.08329854,22.2045371,13.86709593,21.44780065,0,169647.18,29992.07,62367.24,298675.38,-4314,-3520.1,-2060.2,-14424.2
2001,212,16,1146,Atlantic Bumper,Pelagic Prey,Fall,2000,235.3333333,22.16666667,-23.33333333,-6.166666667,14,0,4.69,13.45,66.93333333,86.4,46.6,12,0,1.26,7.36,68.33333333,85.2,51.6,20,0,1.18,10.58,50.53333333,68.1,35,78,0,4.69,54.68,67.31666667,89.9,36.2,20.0396969,22.27171588,14.48732432,21.15515813,0,304035.33,78238.77,157392.65,674862.39,-339.7,0,-2241.3,-2000.4
2002,255,0,489,Atlantic Bumper,Pelagic Prey,Fall,2000,235.3333333,22.16666667,19.66666667,-22.16666667,16,0,2.24,12.27,67.46666667,84.7,47.2,24,0,6.19,26.23,69.03333333,86.8,45.8,16,0,1.5,9.23,52.63333333,65.9,38,91,0,6.19,72.53,67.06666667,90.4,38,20.37202821,23.25887809,13.65261695,21.34869425,0,154291.11,131963.87,225548.88,577365.82,-1536.7,280.7,-305.3,-2919.6
